work_orders,Process_numbers,section_names,status,working_hours,priority
FA2303080177,1,AW,1,0.5,296
FA2303080181,1,AW,1,0.8,297
FA2303090033,1,M,1,2,298
FA2301170261,2,M,1,2.5,299
FA2302050216,2,M,1,2,300
FA2302050238,2,M,1,1.8,301
FA2302130164,2,EP,1,0.6,302
FA2303030062,2,G,1,3,303
FA2303040045,2,M,1,2,304
FA2303060009,2,AW,1,1,305
FA2303060097,2,G,1,1.3,306
FA2303070071,2,G,1,2,307
FA2303070087,2,CNC,1,2,308
FA2303070123,2,G,1,0.8,309
FA2303070124,2,G,1,0.8,310
FA2303070125,2,G,1,0.8,311
FA2303070126,2,G,1,0.8,312
FA2303070127,2,G,1,0.8,313
FA2303080008,2,G,1,0.8,314
FA2303020071,3,G,1,3,315
FA2303070114,3,WE,1,2,316
FA2301170249,4,CNC,1,1.5,317
FA2302280065,4,GP,1,1,318
FA2301170244,5,WE,1,1.8,319
FA2301170245,5,WE,1,1.8,320
FA2303020386,5,CNC,1,3.5,321
FA2301170237,6,M,1,0.5,322
FA2302050047,6,CNC,1,4,323
FA2303020385,6,G,1,2,324
FA2303020388,6,G,1,2,325
FA2303020389,6,G,1,2,326
FA2302050127,7,CNC,1,26,327
FA2301290026,8,CNC,1,3,328
FA2301290027,8,CNC,1,3,329
FA2303040021,8,ES,1,40,330
FA2210210011,12,CNC,1,16,331
FA2302220094,12,WE,1,62,332
FA2301280219,13,ES,1,5,333
FA2301260004,1,L,1,3,334
FA2302060003,1,BD,1,3,335
FA2302080323,1,AW,1,0.5,336
FA2302090146,1,M,1,3,337
FA2302100012,1,AW,1,1,338
FA2302130109,1,M,1,3,339
FA2302130110,1,G,1,2,340
FA2302130176,1,AW,1,0.3,341
FA2302130191,1,AW,1,0.3,342
FA2302140315,1,AW,1,0.8,343
FA2302140325,1,AW,1,0.4,344
FA2302160102,1,M,1,3,345
FA2302170556,1,AW,1,0.5,346
FA2302170558,1,AW,1,0.5,347
FA2302180148,1,M,1,3,348
FA2302180150,1,AW,1,1.5,349
FA2302200283,1,AW,1,0.3,350
FA2302200285,1,AW,1,0.3,351
FA2302200469,1,AW,1,0.5,352
FA2302200474,1,G,1,1.5,353
FA2302200475,1,G,1,1.5,354
FA2302210039,1,AW,1,1.5,355
FA2302210042,1,G,1,4,356
FA2302210056,1,M,1,4,357
FA2302210114,1,G,1,2,358
FA2302210120,1,AW,1,1.5,359
FA2302210121,1,AW,1,1,360
FA2302220075,1,M,1,3,361
FA2302220080,1,AW,1,0.5,362
FA2302220082,1,AW,1,0.3,363
FA2302220083,1,AW,1,0.3,364
FA2302220084,1,AW,1,0.3,365
FA2302220222,1,G,1,4,366
FA2302220242,1,AW,1,0.3,367
FA2302230184,1,AW,1,1.5,368
FA2302280015,1,AW,1,0.6,369
FA2302280350,1,AW,1,0.8,370
FA2303080057,1,G,1,2,371
FA2301310616,2,WE,1,1.8,372
FA2302010003,2,ES,1,4,373
FA2302080322,2,ES,1,3,374
FA2302090142,2,BD,1,2,375
FA2302130159,2,G,1,0.8,376
FA2302130160,2,G,1,0.8,377
FA2302130161,2,G,1,0.8,378
FA2302160765,2,G,1,0.8,379
FA2302220243,2,WE,1,1.2,380
FA2303070043,2,AW,1,1.2,381
FA2303080056,2,CNC,1,2.5,382
FA2211130094,3,MC,1,48,383
FA2301040982,3,AW,1,0.8,384
FA2301060156,3,CNC,1,2.5,385
FA2302130158,3,ES,1,1.5,386
FA2302130163,3,ES,1,2,387
FA2302220007,3,EM,1,1,388
FA2210300037,4,WE,1,2.5,389
FA2301060152,4,CNC,1,2,390
FA2302210066,4,EM,1,1,391
FA2302210068,4,EM,1,1,392
FA2303050026,4,G,1,3,393
FA2303050031,4,G,1,2,394
FA2303070177,4,G,1,10,395
FA2210280228,5,CNC,1,1,396
FA2301060262,5,M,1,1,397
FA2302050015,5,ES,1,6,398
FA2302050016,5,ES,1,6,399
FA2302130172,5,ES,1,3.8,400
FA2302210069,5,EM,1,1,401
FA2302280133,5,M,1,2.5,402
FA2302050027,6,M,1,0.5,403
FA2302050049,6,M,1,0.5,404
FA2302050064,6,ES,1,3,405
FA2302130171,6,ES,1,4.3,406
FA2302200471,6,ES,1,2,407
FA2302040106,7,M,1,0.5,408
FA2302050011,7,ES,1,2,409
FA2302050012,7,ES,1,2,410
FA2302050032,7,ES,1,3,411
FA2302170196,7,ES,1,2.5,412
FA2211150068,8,M,1,2,413
FA2301040011,8,G,1,4,414
FA2302050048,8,G,1,1.5,415
FA2302160761,8,M,1,1,416
FA2302170117,8,M,1,1,417
FA2211020019,10,M,1,1.5,418
FA2302030069,12,M,1,0.5,419
FA2303070036,1,AW,1,0.8,420
FA2303070040,1,G,1,4,421
FA2303070041,1,AW,1,1,422
FA2303070042,1,AW,1,2,423
FA2303070044,1,AW,1,0.3,424
FA2303070045,1,AW,1,0.8,425
FA2303070046,1,AW,1,1.3,426
FA2303070047,1,AW,1,0.4,427
FA2303070048,1,AW,1,1.5,428
FA2303070049,1,AW,1,0.9,429
FA2303070050,1,AW,1,0.5,430
FA2303070078,1,G,1,1,431
FA2303070079,1,G,1,1,432
FA2303070081,1,G,1,1,433
FA2303080093,1,MC,1,3,434
FA2303080138,1,AW,1,0.6,435
FA2303080140,1,AW,1,1,436
FA2303080141,1,AW,1,0.3,437
FA2303080142,1,AW,1,0.3,438
FA2303080143,1,AW,1,0.3,439
FA2303080145,1,CNC,1,6,440
FA2303080152,1,AW,1,0.8,441
FA2303080153,1,AW,1,0.3,442
FA2303080155,1,AW,1,0.4,443
FA2303080156,1,AW,1,0.6,444
FA2303080157,1,AW,1,0.4,445
FA2303080161,1,AW,1,0.3,446
FA2303080162,1,AW,1,0.4,447
FA2303080164,1,AW,1,2.3,448
FA2303080166,1,AW,1,0.6,449
FA2303080167,1,AW,1,0.6,450
FA2303090006,1,G,1,2.8,451
FA2303090015,1,EM,1,1.5,452
FA2303090045,1,M,1,2,453
FA2303090073,1,G,1,2,454
FA2303090074,1,G,1,2,455
FA2303090075,1,G,1,2,456
FA2303090102,1,M,1,4,457
FA2303100001,1,GP,1,3,458
FA2303100002,1,CNC,1,6,459
FA2303100003,1,G,1,1.5,460
FA2303100004,1,G,1,2,461
FA2303100005,1,G,1,1.5,462
FA2303100006,1,MC,1,3.5,463
FA2303100007,1,G,1,1.5,464
FA2303100023,1,G,1,3,465
FA2303100034,1,M,1,3,466
FA2303100035,1,G,1,2,467
FA2303100036,1,G,1,2,468
FA2303100037,1,G,1,2,469
FA2303100059,1,EM,1,1.5,470
FA2303100062,1,ES,1,4,471
FA2303100063,1,M,1,2.5,472
FA2303100127,1,GP,1,2,473
FA2303110085,1,M,1,2,474
FA2303120008,1,RM,1,0.8,475
FA2303120018,1,MC,1,2,476
FA2303120019,1,MC,1,2,477
FA2301170045,2,AW,1,2,478
FA2302050212,2,M,1,13,479
FA2303070038,2,AW,1,0.5,480
FA2303070145,2,G,1,3.5,481
FA2303070147,2,G,1,0.8,482
FA2303070148,2,G,1,0.8,483
FA2303070149,2,G,1,0.8,484
FA2303070150,2,G,1,0.8,485
FA2303070151,2,G,1,1.2,486
FA2303070152,2,G,1,0.8,487
FA2303080154,2,AW,1,0.6,488
FA2303080158,2,AW,1,0.8,489
FA2303080163,2,AW,1,0.4,490
FA2303090011,2,CNC,1,2.5,491
FA2302050102,4,G,1,5,492
FA2303050028,4,G,1,3,493
FA2303080165,4,ES,1,6,494
FA2303090014,4,G,1,1,495
FA2303100011,4,EM,1,1.5,496
FA2303100012,4,EM,1,1.5,497
FA2302050213,5,CNC,1,12,498
FA2303050027,5,WE,1,7,499
FA2303090012,5,ES,1,2.5,500
FA2303090013,5,ES,1,2.5,501
FA2303050023,6,G,1,3,502
FA2303050024,6,G,1,3,503
FA2302050123,7,CNC,1,18,504
FA2303040023,7,ES,1,8,505
FA2302230094,1,AW,1,0.4,506
FA2302230095,1,AW,1,0.8,507
FA2302230100,1,AW,1,0.6,508
FA2302230206,1,AW,1,0.5,509
FA2302240040,1,AW,1,0.5,510
FA2302240411,1,AW,1,0.5,511
FA2303010106,1,AW,1,1,512
FA2303090051,1,AW,1,0.7,513
FA2303090061,1,G,1,2,514
FA2303090103,1,G,1,1.5,515
FA2303090104,1,G,1,1.5,516
FA2303090105,1,G,1,1.5,517
FA2303120064,1,M,1,1.5,518
FA2303120073,1,RM,1,0.5,519
FA2303130380,1,ES,1,1.8,520
FA2303070137,2,M,1,1.5,521
FA2302050097,3,G,1,2,522
FA2303090046,3,ES,1,2.5,523
FA2303090106,3,ES,1,2.5,524
FA2302050094,4,CNC,1,8,525
FA2302050099,4,G,1,2.5,526
FA2302050114,4,G,1,2.5,527
FA2302050125,5,G,1,2.5,528
FA2302050291,5,CNC,1,3,529
FA2303090099,5,G,1,1.3,530
FA2303090100,5,G,1,1.3,531
FA2303090040,6,CNC,1,2,532
FA2303090098,6,G,1,2,533
FA2302220164,8,GP,1,4,534
FA2303040054,1,AW,1,1,535
FA2303040055,1,AW,1,1,536
FA2303090036,1,M,1,4,537
FA2303090048,1,AW,1,0.8,538
FA2303090049,1,AW,1,0.8,539
FA2303090054,1,AW,1,0.8,540
FA2303090055,1,AW,1,0.3,541
FA2303090056,1,AW,1,0.5,542
FA2303090058,1,AW,1,0.3,543
FA2303100064,1,AW,1,1.5,544
FA2303100065,1,AW,1,1,545
FA2303100067,1,G,1,4,546
FA2303100068,1,G,1,4,547
FA2303100069,1,ES,1,6,548
FA2303110030,1,AW,1,0.3,549
FA2303110070,1,AW,1,2,550
FA2303110071,1,AW,1,2,551
FA2303110072,1,AW,1,0.5,552
FA2303110073,1,AW,1,0.5,553
FA2303110086,1,G,1,3,554
FA2303110087,1,G,1,3,555
FA2303120069,1,RM,1,1,556
FA2303130442,1,G,1,3.5,557
FA2301030053,2,M,1,4,558
FA2301310471,2,WE,1,1.5,559
FA2301310488,2,WE,1,1,560
FA2301310489,2,WE,1,1,561
FA2302050131,2,M,1,1.2,562
FA2302050210,2,M,1,1.5,563
FA2302050211,2,M,1,1.5,564
FA2302050271,2,M,1,2.5,565
FA2302050281,2,M,1,5,566
FA2302180218,2,GP,1,1.5,567
FA2302220171,2,M,1,4,568
FA2303130497,2,ES,1,5,569
FA2301310458,3,CNC,1,2.5,570
FA2302050089,3,G,1,3,571
FA2302050119,3,G,1,5,572
FA2302050257,3,G,1,5,573
FA2302050258,3,G,1,1.8,574
FA2302050259,3,G,1,5,575
FA2302050269,3,G,1,2.5,576
FA2302170119,3,GP,1,2,577
FA2302050079,4,G,1,1,578
FA2302050080,4,G,1,1,579
FA2302050082,4,G,1,3,580
FA2302050085,4,G,1,3,581
FA2302050086,4,G,1,3,582
FA2302050088,4,G,1,4,583
FA2302050091,4,G,1,2.5,584
FA2302050095,4,G,1,3,585
FA2302050096,4,G,1,3,586
FA2302050100,4,G,1,1,587
FA2302050103,4,G,1,3.5,588
FA2302050104,4,G,1,1.5,589
FA2302050115,4,G,1,5,590
FA2302050116,4,G,1,1,591
FA2302050129,4,GP,1,4,592
FA2302050241,4,G,1,1.3,593
FA2302050242,4,G,1,1.3,594
FA2302050244,4,G,1,1.3,595
FA2302050245,4,G,1,1.3,596
FA2302050249,4,G,1,1.5,597
FA2302050250,4,G,1,1.5,598
FA2302050251,4,G,1,1.5,599
FA2302050252,4,G,1,1.5,600
FA2302050253,4,G,1,1.5,601
FA2302050254,4,G,1,1.5,602
FA2302050255,4,G,1,1.5,603
FA2302050256,4,G,1,1.5,604
FA2302050264,4,GP,1,4,605
FA2302050266,4,G,1,6,606
FA2302050267,4,G,1,4,607
FA2302050274,4,GP,1,3.5,608
FA2303010172,4,WE,1,2.5,609
FA2301310495,5,CNC,1,1,610
FA2302050112,5,ES,1,1.5,611
FA2302050124,5,G,1,2.5,612
FA2302050126,5,G,1,2.5,613
FA2302050128,5,G,1,1.5,614
FA2302050130,5,G,1,2,615
FA2302050248,5,WE,1,3,616
FA2302050262,5,G,1,4,617
FA2302050272,5,G,1,1,618
FA2302180216,5,CNC,1,12,619
FA2302180217,5,CNC,1,12,620
FA2302190205,5,CNC,1,10,621
FA2302190206,5,CNC,1,10,622
FA2303050022,5,G,1,4,623
FA2302050215,6,G,1,6,624
FA2303090053,6,EM,1,1.5,625
FA2302050234,7,M,1,0.5,626
FA2302050235,7,M,1,0.5,627
FA2302050236,7,M,1,0.5,628
FA2302050287,7,WE,1,3.5,629
FA2302050288,7,WE,1,3.5,630
FA2302190115,8,CNC,1,30,631
FA2302050122,9,CNC,1,5,632
FA2302250106,1,AW,1,0.5,633
FA2302250108,1,AW,1,0.8,634
FA2302250109,1,AW,1,0.5,635
FA2303070002,1,EM,1,4,636
FA2303070003,1,EM,1,4,637
FA2303070004,1,EM,1,4,638
FA2303070006,1,EM,1,4,639
FA2303070010,1,EM,1,3,640
FA2303070011,1,EM,1,3,641
FA2303090024,1,AW,1,1,642
FA2303090025,1,AW,1,1,643
FA2303090026,1,AW,1,0.5,644
FA2303090079,1,AW,1,0.5,645
FA2303090080,1,AW,1,0.5,646
FA2303090081,1,AW,1,1,647
FA2303090084,1,AW,1,0.8,648
FA2303090085,1,AW,1,0.8,649
FA2303090086,1,AW,1,1,650
FA2303090087,1,AW,1,0.5,651
FA2303090089,1,AW,1,0.5,652
FA2303100008,1,G,1,1.3,653
FA2303100015,1,AW,1,0.9,654
FA2303100031,1,G,1,1.5,655
FA2303100032,1,G,1,2,656
FA2303100070,1,M,1,2,657
FA2303100071,1,AW,1,0.6,658
FA2303100072,1,AW,1,1.4,659
FA2303100073,1,AW,1,1,660
FA2303100074,1,AW,1,0.6,661
FA2303100075,1,EM,1,1,662
FA2303100076,1,AW,1,0.3,663
FA2303100077,1,AW,1,0.6,664
FA2303100087,1,ES,1,3,665
FA2303100088,1,ES,1,3,666
FA2303100110,1,AW,1,1.2,667
FA2303100111,1,AW,1,1,668
FA2303100112,1,AW,1,1.3,669
FA2303100113,1,AW,1,1.3,670
FA2303100114,1,AW,1,2,671
FA2303100115,1,AW,1,1,672
FA2303100116,1,AW,1,1.5,673
FA2303100118,1,AW,1,1.2,674
FA2303100121,1,MC,1,5,675
FA2303110089,1,AW,1,1.5,676
FA2303110115,1,ES,1,3,677
FA2303110133,1,G,1,1,678
FA2303110135,1,G,1,1,679
FA2303120005,1,WE,1,1.8,680
FA2303120006,1,CNC,1,2,681
FA2303120009,1,AW,1,2,682
FA2303120011,1,AW,1,0.5,683
FA2303120013,1,AW,1,0.6,684
FA2303120014,1,AW,1,0.3,685
FA2303120070,1,RM,1,1,686
FA2303130368,1,G,1,4,687
FA2303130369,1,MC,1,2,688
FA2303130370,1,MC,1,2,689
FA2303130393,1,AW,1,2.5,690
FA2303130395,1,ES,1,2.5,691
FA2303130408,1,M,1,2,692
FA2303130409,1,MC,1,6,693
FA2303130410,1,G,1,8,694
FA2303130444,1,G,1,2.5,695
FA2303130445,1,G,1,1.5,696
FA2303130447,1,ES,1,4,697
FA2303130448,1,ES,1,4,698
FA2303130449,1,ES,1,3,699
FA2303130450,1,ES,1,3,700
FA2303130478,1,AW,1,0.2,701
FA2303130496,1,CNC,1,2,702
FA2302120006,2,M,1,10,703
FA2302120007,2,M,1,9,704
FA2302120008,2,M,1,10,705
FA2302200380,2,M,1,4,706
FA2302200464,2,M,1,4,707
FA2302250107,2,WE,1,1,708
FA2303090017,2,M,1,7,709
FA2303090029,2,EM,1,1,710
FA2303090088,2,AW,1,0.5,711
FA2303090092,2,G,1,2,712
FA2303100010,2,G,1,1.3,713
FA2303100078,2,ES,1,6,714
FA2303100130,2,G,1,1.3,715
FA2303120054,2,ES,1,2.2,716
FA2303110016,3,CNC,1,2,717
FA2303120004,3,WE,1,3,718
FA2303120056,3,ES,1,2.5,719
FA2301200061,4,G,1,2,720
FA2301200063,4,G,1,2,721
FA2301200064,4,G,1,2.5,722
FA2301200065,4,G,1,1.5,723
FA2303100014,4,ES,1,6,724
FA2303100029,4,CNC,1,1.8,725
FA2303100033,4,EM,1,1.5,726
FA2303120062,4,CNC,1,3.5,727
FA2301200059,5,M,1,1.5,728
FA2301200066,5,M,1,2,729
FA2303120061,5,CNC,1,1.5,730
FA2303130026,5,M,1,0.6,731
FA2303130027,5,M,1,0.6,732
FA2303130028,6,CNC,1,2,733
FA2303080032,7,G,1,2,734
FA2303080033,7,G,1,2,735
FA2303100042,1,AW,1,1.7,736
FA2303100044,1,AW,1,0.4,737
FA2303100045,1,AW,1,0.4,738
FA2303100046,1,AW,1,0.3,739
FA2303100047,1,AW,1,0.3,740
